UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
540,2022-12-08 00:00:00,8999514,2014-11-03 00:00:00,2022-12-08 05:00:00,2014-11-03 05:00:00,0.9915140271186829,1.0,1.0,False,True,b'\x00\x00\x00\x03\xd2\xbc|:',10,Cash Dividend,,-1
540,2023-03-09 00:00:00,9023679,2022-12-08 00:00:00,2023-03-09 05:00:00,2022-12-08 05:00:00,0.9904680252075195,1.0,1.0,False,False,b'\x00\x00\x00\x03\xd2\xbc|9',10,Cash Dividend,,-1
