UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
443,2022-09-29 00:00:00,8972493,2021-09-29 00:00:00,2022-09-29 04:00:00,2021-09-29 04:00:00,0.9990609884262085,1.0,1.0,False,True,b'\x00\x00\x00\x043?\x9e\xd3',10,Cash Dividend,,-1
443,2022-12-29 00:00:00,9005470,2022-09-29 00:00:00,2022-12-29 05:00:00,2022-09-29 04:00:00,0.9990360140800476,1.0,1.0,False,True,b'\x00\x00\x00\x043?\x9e\xd2',10,Cash Dividend,,-1
443,2023-03-30 00:00:00,9036835,2022-12-29 00:00:00,2023-03-30 04:00:00,2022-12-29 05:00:00,0.9989089965820312,1.0,1.0,False,True,b'\x00\x00\x00\x043?\x9e\xd1',10,Cash Dividend,,-1
443,2023-10-02 00:00:00,9119145,2023-03-30 00:00:00,2023-10-02 04:00:00,2023-03-30 04:00:00,0.0,0.0,1.0,False,False,b'\x00\x00\x00\x043?\x9e\xd0',67,Spin-Off,,-1
