UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
211,2022-11-04 00:00:00,8988437,2020-08-31 00:00:00,2022-11-04 04:00:00,2020-08-31 04:00:00,0.9983440041542053,1.0,1.0,False,True,b'\x00\x00\x00\x04S\xdb/\xc4',10,Cash Dividend,,-1
211,2023-02-10 00:00:00,9027943,2022-11-04 00:00:00,2023-02-10 05:00:00,2022-11-04 04:00:00,0.9984760284423828,1.0,1.0,False,True,b'\x00\x00\x00\x04S\xdb/\xc3',10,Cash Dividend,,-1
211,2023-05-12 00:00:00,9072242,2023-02-10 00:00:00,2023-05-12 04:00:00,2023-02-10 05:00:00,0.998619019985199,1.0,1.0,False,True,b'\x00\x00\x00\x04S\xdb/\xc2',10,Cash Dividend,,-1
211,2023-08-11 00:00:00,9109516,2023-05-12 00:00:00,2023-08-11 04:00:00,2023-05-12 04:00:00,0.9986510276794434,1.0,1.0,False,True,b'\x00\x00\x00\x04S\xdb/\xc1',10,Cash Dividend,,-1
211,2023-11-10 00:00:00,9143733,2023-08-11 00:00:00,2023-11-10 05:00:00,2023-08-11 04:00:00,0.9986839890480042,1.0,1.0,False,True,b'\x00\x00\x00\x04S\xdb/\xc0',10,Cash Dividend,,-1
