UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
44235,2022-09-29 00:00:00,8974060,2012-12-19 00:00:00,2022-09-29 04:00:00,2012-12-19 05:00:00,0.9980229735374451,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8ou',10,Cash Dividend,,-1
44235,2023-03-30 00:00:00,9029656,2022-09-29 00:00:00,2023-03-30 04:00:00,2022-09-29 04:00:00,0.997963011264801,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8ot',10,Cash Dividend,,-1
44235,2023-09-28 00:00:00,9126652,2023-03-30 00:00:00,2023-09-28 04:00:00,2023-03-30 04:00:00,0.9977329969406128,1.0,1.0,False,False,b'\x00\x00\x00\x04O\xe8os',10,Cash Dividend,,-1
