UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
1249,2023-03-07 00:00:00,9037491,2021-07-20 00:00:00,2023-03-07 05:00:00,2021-07-20 04:00:00,0.9998300075531006,1.0,1.0,False,True,b'\x00\x00\x00\x04P*:7',10,Cash Dividend,,-1
1249,2023-06-07 00:00:00,9082811,2023-03-07 00:00:00,2023-06-07 04:00:00,2023-03-07 05:00:00,0.9998970031738281,1.0,1.0,False,True,b'\x00\x00\x00\x04P*:6',10,Cash Dividend,,-1
1249,2023-09-06 00:00:00,9118691,2023-06-07 00:00:00,2023-09-06 04:00:00,2023-06-07 04:00:00,0.9999179840087891,1.0,1.0,False,True,b'\x00\x00\x00\x04P*:5',10,Cash Dividend,,-1
