UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
269,2023-02-08 00:00:00,0,2013-12-18 00:00:00,2023-02-08 05:00:00,2013-12-18 05:00:00,0.6666669845581055,1.0,0.6666669845581055,True,True,b'\x00\x00\x00\x03\xc9\x88~\xa2',132,Stock Split,"ok
",-1
269,2023-02-08 00:00:00,9028509,2023-02-08 00:00:00,2023-02-08 05:00:00,2023-02-08 05:00:00,0.6666669845581055,1.0,1.0,False,True,b'\x00\x00\x00\x03\xc9\x88~\xa1',70,Stock Dividend,,-1
