UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
733,2022-11-03 00:00:00,8987026,2014-02-05 00:00:00,2022-11-03 04:00:00,2014-02-05 05:00:00,0.9936010241508484,1.0,1.0,False,True,b'\x00\x00\x00\x03\xe1V<\xc3',10,Cash Dividend,,-1
733,2023-02-02 00:00:00,9023139,2022-11-03 00:00:00,2023-02-02 05:00:00,2022-11-03 04:00:00,0.9936619997024536,1.0,1.0,False,True,b'\x00\x00\x00\x03\xe1V<\xc2',10,Cash Dividend,,-1
733,2023-05-04 00:00:00,9066638,2023-02-02 00:00:00,2023-05-04 04:00:00,2023-02-02 05:00:00,0.9922379851341248,1.0,1.0,False,True,b'\x00\x00\x00\x03\xe1V<\xc1',10,Cash Dividend,,-1
