UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
522,2022-09-29 00:00:00,8962856,2013-12-27 00:00:00,2022-09-29 04:00:00,2013-12-27 05:00:00,0.9984049797058105,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8\x0e\\',10,Cash Dividend,,-1
522,2022-12-29 00:00:00,8988230,2022-09-29 00:00:00,2022-12-29 05:00:00,2022-09-29 04:00:00,0.9984719753265381,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8\x0e[',10,Cash Dividend,,-1
522,2023-03-30 00:00:00,9034207,2022-12-29 00:00:00,2023-03-30 04:00:00,2022-12-29 05:00:00,0.9981780052185059,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8\x0eZ',10,Cash Dividend,,-1
522,2023-09-28 00:00:00,9115477,2023-03-30 00:00:00,2023-09-28 04:00:00,2023-03-30 04:00:00,0.9982069730758667,1.0,1.0,False,False,b'\x00\x00\x00\x04O\xe8\x0eY',10,Cash Dividend,,-1
