UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
2698,2022-11-04 00:00:00,8991062,2017-04-11 00:00:00,2022-11-04 04:00:00,2017-04-11 04:00:00,1.0,2.0,0.125,True,True,b'\x00\x00\x00\x04SH\xdd\t',132,Stock Split,,-1
2698,2022-11-04 00:00:00,8999396,2022-11-04 00:00:00,2022-11-04 04:00:00,2022-11-04 04:00:00,1.0,2.0,0.25,True,True,b'\x00\x00\x00\x04SH\xdd\x08',132,Stock Split,,-1
2698,2023-08-22 00:00:00,9110160,2022-11-04 00:00:00,2023-08-22 04:00:00,2022-11-04 04:00:00,1.0,2.0,0.5,True,True,b'\x00\x00\x00\x04SH\xdd\x07',132,Stock Split,,-1
