UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
307,2022-11-30 00:00:00,8985625,2020-11-30 00:00:00,2022-11-30 05:00:00,2020-11-30 05:00:00,0.9929580092430115,1.0,1.0,False,True,b'\x00\x00\x00\x04?ZT\x1f',10,Cash Dividend,,-1
307,2023-03-16 00:00:00,9034284,2022-11-30 00:00:00,2023-03-16 04:00:00,2022-11-30 05:00:00,0.9923880100250244,1.0,1.0,False,True,b'\x00\x00\x00\x04?ZT\x1e',10,Cash Dividend,,-1
307,2023-09-14 00:00:00,9102599,2023-03-16 00:00:00,2023-09-14 04:00:00,2023-03-16 04:00:00,0.9921290278434753,1.0,1.0,False,False,b'\x00\x00\x00\x04?ZT\x1d',10,Cash Dividend,,-1
