UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
411,2023-02-13 00:00:00,9032497,2018-12-21 00:00:00,2023-02-13 05:00:00,2018-12-21 05:00:00,1.0,1.0,1.0,False,True,b'\x00\x00\x00\x04-\xeb\x8f\xc1',249,Change,,-1
411,2023-08-09 00:00:00,9099850,2023-02-13 00:00:00,2023-08-09 04:00:00,2023-02-13 05:00:00,0.0,0.0,1.0,False,True,b'\x00\x00\x00\x04-\xeb\x8f\xc0',231,Odd Lot Sale Purchase	,,-1
411,2023-09-13 00:00:00,9115272,2023-08-09 00:00:00,2023-09-13 04:00:00,2023-08-09 04:00:00,0.0,0.0,1.0,False,False,b'\x00\x00\x00\x04-\xeb\x8f\xbf',231,Odd Lot Sale Purchase	,,-1
