StartTime,StockOpen,StockClose,StockHigh,StockLow,StockVol
2023-07-06 13:30:00,473.489990234375,473.489990234375,473.489990234375,473.489990234375,4093.0
2023-07-06 13:31:00,473.489990234375,474.29998779296875,476.010009765625,472.2900085449219,3805.0
2023-07-06 13:32:00,474.29998779296875,474.29998779296875,474.29998779296875,474.29998779296875,60.0
2023-07-06 13:33:00,474.29998779296875,476.2300109863281,476.2300109863281,474.29998779296875,1102.0
2023-07-06 13:34:00,476.2300109863281,476.2300109863281,476.2300109863281,476.2300109863281,168.0
2023-07-06 13:35:00,476.2300109863281,476.1400146484375,476.2300109863281,475.9100036621094,470.0
2023-07-06 13:36:00,476.1400146484375,474.92999267578125,476.1400146484375,474.92999267578125,391.0
2023-07-06 13:37:00,474.92999267578125,476.8699951171875,476.8699951171875,473.739990234375,842.0
2023-07-06 13:38:00,476.8699951171875,476.8699951171875,476.8699951171875,476.8699951171875,37.0
2023-07-06 13:39:00,476.8699951171875,475.5,476.8699951171875,475.5,190.0
2023-07-06 13:40:00,475.5,475.5,475.5,475.5,161.0
2023-07-06 13:41:00,475.5,475.5,475.5,475.5,105.0
2023-07-06 13:42:00,475.5,475.5,475.5,475.5,27.0
2023-07-06 13:43:00,474.80999755859375,476.0299987792969,476.0299987792969,474.80999755859375,387.0
2023-07-06 13:44:00,476.0299987792969,476.0,476.32000732421875,476.0,483.0
2023-07-06 13:45:00,476.0,476.55999755859375,476.55999755859375,476.0,275.0
2023-07-06 13:46:00,476.55999755859375,476.55999755859375,476.55999755859375,476.55999755859375,111.0
2023-07-06 13:47:00,476.55999755859375,476.55999755859375,476.55999755859375,476.55999755859375,384.0
2023-07-06 13:48:00,476.55999755859375,476.5,477.6000061035156,476.5,2476.0
2023-07-06 13:49:00,476.5,478.489990234375,478.489990234375,476.5,918.0
2023-07-06 13:50:00,477.5899963378906,478.42999267578125,478.6700134277344,477.5899963378906,899.0
2023-07-06 13:51:00,478.42999267578125,477.45001220703125,478.5299987792969,477.45001220703125,1344.0
2023-07-06 13:52:00,477.45001220703125,477.45001220703125,477.45001220703125,477.45001220703125,86.0
2023-07-06 13:53:00,477.45001220703125,477.4700012207031,477.4700012207031,476.5,4439.0
2023-07-06 13:54:00,477.4700012207031,477.4700012207031,477.4700012207031,477.4700012207031,87.0
2023-07-06 13:55:00,477.4700012207031,477.4700012207031,477.4700012207031,477.4700012207031,440.0
2023-07-06 13:56:00,477.54998779296875,477.8500061035156,478.54998779296875,477.54998779296875,1489.0
2023-07-06 13:57:00,477.8500061035156,477.8500061035156,477.8500061035156,477.8500061035156,44.0
2023-07-06 13:58:00,477.8500061035156,478.20001220703125,478.6099853515625,477.8500061035156,346.0
2023-07-06 13:59:00,478.20001220703125,477.8399963378906,478.3399963378906,477.0,2447.0
2023-07-06 14:00:00,477.8399963378906,477.8399963378906,477.8399963378906,477.8399963378906,64.0
2023-07-06 14:01:00,477.8399963378906,477.8399963378906,477.8399963378906,477.8399963378906,32.0
2023-07-06 14:02:00,477.8399963378906,477.8399963378906,477.8399963378906,477.8399963378906,179.0
2023-07-06 14:03:00,477.8500061035156,477.8500061035156,477.8500061035156,477.8500061035156,110.0
2023-07-06 14:04:00,477.8500061035156,477.8500061035156,477.8500061035156,477.8500061035156,279.0
2023-07-06 14:05:00,477.8500061035156,477.8500061035156,477.8500061035156,477.8500061035156,234.0
2023-07-06 14:06:00,477.8500061035156,476.1099853515625,477.8500061035156,475.80999755859375,2363.0
2023-07-06 14:07:00,476.1099853515625,475.75,476.55999755859375,475.75,1709.0
2023-07-06 14:08:00,475.75,476.0400085449219,476.0400085449219,475.75,516.0
2023-07-06 14:09:00,476.0400085449219,475.75,476.0400085449219,475.75,762.0
2023-07-06 14:10:00,475.75,476.4200134277344,476.4200134277344,475.75,381.0
2023-07-06 14:11:00,476.4200134277344,476.44000244140625,476.5799865722656,475.489990234375,2652.0
2023-07-06 14:12:00,476.44000244140625,476.0,476.44000244140625,475.75,838.0
2023-07-06 14:13:00,476.0,476.45001220703125,476.45001220703125,476.0,188.0
2023-07-06 14:14:00,476.45001220703125,475.75,476.45001220703125,475.75,729.0
2023-07-06 14:15:00,475.75,475.45001220703125,476.1000061035156,475.45001220703125,8422.0
2023-07-06 14:16:00,475.45001220703125,475.2300109863281,475.8999938964844,475.2300109863281,419.0
2023-07-06 14:17:00,475.2300109863281,474.9700012207031,475.2300109863281,474.9700012207031,348.0
2023-07-06 14:18:00,474.9700012207031,474.2699890136719,474.9700012207031,474.2699890136719,184.0
2023-07-06 14:19:00,474.2699890136719,474.92999267578125,474.9700012207031,474.2699890136719,1860.0
2023-07-06 14:20:00,474.92999267578125,474.9800109863281,474.9800109863281,474.75,582.0
2023-07-06 14:21:00,474.9800109863281,474.9800109863281,474.9800109863281,474.9800109863281,66.0
2023-07-06 14:22:00,474.9800109863281,474.2200012207031,474.9800109863281,474.2200012207031,3258.0
2023-07-06 14:23:00,474.2200012207031,474.55999755859375,474.55999755859375,474.2200012207031,339.0
2023-07-06 14:24:00,474.55999755859375,474.55999755859375,474.55999755859375,474.55999755859375,101.0
2023-07-06 14:25:00,474.55999755859375,474.79998779296875,474.79998779296875,474.55999755859375,625.0
2023-07-06 14:26:00,474.79998779296875,474.239990234375,474.79998779296875,474.239990234375,609.0
2023-07-06 14:27:00,474.239990234375,474.79998779296875,474.79998779296875,474.239990234375,581.0
2023-07-06 14:28:00,474.79998779296875,474.79998779296875,474.79998779296875,474.79998779296875,93.0
