UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
383,2022-04-01 00:00:00,0,2014-03-06 00:00:00,2022-04-01 04:00:00,2014-03-06 05:00:00,0.9749400019645691,1.0,0.9749400019645691,True,True,b'\x00\x00\x00\x04U\xe4\x8dv',132,Stock Split,,-1
383,2023-03-09 00:00:00,9023368,2022-04-01 00:00:00,2023-03-09 05:00:00,2022-04-01 04:00:00,0.9961310029029846,1.0,1.0,False,True,b'\x00\x00\x00\x04U\xe4\x8du',10,Cash Dividend,,-1
383,2023-12-07 00:00:00,9147704,2023-03-09 00:00:00,2023-12-07 05:00:00,2023-03-09 05:00:00,0.9959310293197632,1.0,1.0,False,True,b'\x00\x00\x00\x04U\xe4\x8dt',10,Cash Dividend,,-1
