UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
44520,2022-09-29 00:00:00,8969557,2013-12-27 00:00:00,2022-09-29 04:00:00,2013-12-27 05:00:00,0.991644024848938,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8\x0el',10,Cash Dividend,,-1
44520,2022-12-29 00:00:00,9005061,2022-09-29 00:00:00,2022-12-29 05:00:00,2022-09-29 04:00:00,0.9915649890899658,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8\x0ek',10,Cash Dividend,,-1
44520,2023-03-30 00:00:00,9043324,2022-12-29 00:00:00,2023-03-30 04:00:00,2022-12-29 05:00:00,0.9901649951934814,1.0,1.0,False,True,b'\x00\x00\x00\x04O\xe8\x0ej',10,Cash Dividend,,-1
44520,2023-09-28 00:00:00,9122256,2023-03-30 00:00:00,2023-09-28 04:00:00,2023-03-30 04:00:00,0.9874609708786011,1.0,1.0,False,False,b'\x00\x00\x00\x04O\xe8\x0ei',10,Cash Dividend,,-1
