UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
247,2022-11-04 00:00:00,8974074,2014-02-05 00:00:00,2022-11-04 04:00:00,2014-02-05 05:00:00,0.9866740107536316,1.0,1.0,False,True,b'\x00\x00\x00\x04Sk\xe9\xc1',10,Cash Dividend,,-1
247,2023-02-06 00:00:00,9024962,2022-11-04 00:00:00,2023-02-06 05:00:00,2022-11-04 04:00:00,0.987962007522583,1.0,1.0,False,True,b'\x00\x00\x00\x04Sk\xe9\xc0',10,Cash Dividend,,-1
247,2023-05-04 00:00:00,9036735,2023-02-06 00:00:00,2023-05-04 04:00:00,2023-02-06 05:00:00,0.9959220290184021,1.0,1.0,False,True,b'\x00\x00\x00\x04Sk\xe9\xbf',10,Cash Dividend,,-1
247,2023-08-04 00:00:00,9105857,2023-05-04 00:00:00,2023-08-04 04:00:00,2023-05-04 04:00:00,0.9964150190353394,1.0,1.0,False,True,b'\x00\x00\x00\x04Sk\xe9\xbe',10,Cash Dividend,,-1
247,2023-11-06 00:00:00,9139968,2023-08-04 00:00:00,2023-11-06 05:00:00,2023-08-04 04:00:00,0.9967229962348938,1.0,1.0,False,True,b'\x00\x00\x00\x04Sk\xe9\xbd',10,Cash Dividend,,-1
