UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
23402,2022-12-15 00:00:00,8987024,2020-12-10 00:00:00,2022-12-15 05:00:00,2020-12-10 05:00:00,0.9984059929847717,1.0,1.0,False,True,b'\x00\x00\x00\x04?ZT[',10,Cash Dividend,,-1
23402,2023-03-16 00:00:00,9037730,2022-12-15 00:00:00,2023-03-16 04:00:00,2022-12-15 05:00:00,0.9981340169906616,1.0,1.0,False,True,b'\x00\x00\x00\x04?ZTZ',10,Cash Dividend,,-1
23402,2023-06-15 00:00:00,9070443,2023-03-16 00:00:00,2023-06-15 04:00:00,2023-03-16 04:00:00,0.9982360005378723,1.0,1.0,False,True,b'\x00\x00\x00\x04?ZTY',10,Cash Dividend,,-1
23402,2023-09-14 00:00:00,9101737,2023-06-15 00:00:00,2023-09-14 04:00:00,2023-06-15 04:00:00,0.9978330135345459,1.0,1.0,False,False,b'\x00\x00\x00\x04?ZTX',10,Cash Dividend,,-1
