UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
19890819,2022-09-29 00:00:00,8956749,2013-12-27 00:00:00,2022-09-29 04:00:00,2013-12-27 05:00:00,0.9927449822425842,1.0,1.0,False,True,b'\x00\x00\x00\x04P\x08X\xe7',10,Cash Dividend,,-1
19890819,2022-12-29 00:00:00,9010151,2022-09-29 00:00:00,2022-12-29 05:00:00,2022-09-29 04:00:00,0.9924240112304688,1.0,1.0,False,True,b'\x00\x00\x00\x04P\x08X\xe6',10,Cash Dividend,,-1
19890819,2023-03-30 00:00:00,9034055,2022-12-29 00:00:00,2023-03-30 04:00:00,2022-12-29 05:00:00,0.992385983467102,1.0,1.0,False,True,b'\x00\x00\x00\x04P\x08X\xe5',10,Cash Dividend,,-1
19890819,2023-09-28 00:00:00,9126048,2023-03-30 00:00:00,2023-09-28 04:00:00,2023-03-30 04:00:00,0.9887779951095581,1.0,1.0,False,True,b'\x00\x00\x00\x04P\x08X\xe4',10,Cash Dividend,,-1
