UIC,Date,BOID,StartDate,UTCEndDateTime,UTCStartDateTime,OldNoOfStocks,NewNoOfStocks,AccSplitFactor,NeedSplit,AccSplitReady,timestamp,EventCode,EventName,Comment,EntitlementId
4625,2022-11-17 00:00:00,8991290,2014-03-10 00:00:00,2022-11-17 05:00:00,2014-03-10 04:00:00,0.9954550266265869,1.0,1.0,False,True,b'\x00\x00\x00\x03\xc9\xc9;e',10,Cash Dividend,,-1
4625,2023-02-16 00:00:00,9027831,2022-11-17 00:00:00,2023-02-16 05:00:00,2022-11-17 05:00:00,0.9956799745559692,1.0,1.0,False,False,b'\x00\x00\x00\x03\xc9\xc9;d',10,Cash Dividend,,-1
